origem,destino,distancia,bloqueada
Centro,Ponto_01,39,0
Centro,Ponto_02,14,0
Centro,Ponto_03,26,1
Centro,Ponto_04,73,0
Centro,Ponto_05,36,0
Centro,Ponto_06,25,0
Centro,Ponto_07,64,0
Centro,Ponto_08,53,1
Centro,Ponto_09,39,0
Centro,Ponto_10,76,0
Centro,Ponto_11,33,0
Centro,Ponto_12,46,0
Centro,Ponto_13,12,0
Centro,Ponto_14,34,0
Centro,Ponto_15,9,0
Centro,Ponto_16,45,0
Centro,Ponto_17,56,0
Centro,Ponto_18,39,0
Centro,Ponto_19,13,1
Centro,Ponto_20,32,0
Ponto_19,Ponto_11,32,0
Ponto_16,Ponto_13,87,0
Ponto_15,Ponto_05,38,0
Ponto_05,Ponto_08,100,0
Ponto_18,Ponto_20,38,0
Ponto_19,Ponto_14,79,1
Ponto_13,Ponto_12,33,0
Ponto_05,Ponto_17,68,0
Ponto_03,Ponto_02,19,0
Ponto_05,Ponto_06,92,0
Ponto_14,Ponto_03,54,0
Ponto_13,Ponto_15,72,0
Ponto_09,Ponto_18,6,0
Ponto_04,Ponto_18,39,0
Ponto_11,Ponto_04,42,0
Ponto_14,Ponto_06,63,0
Ponto_01,Ponto_09,69,0
Ponto_06,Ponto_17,18,0
Ponto_10,Ponto_17,82,0
Ponto_07,Ponto_05,52,1
Ponto_06,Ponto_18,72,0
Ponto_01,Ponto_11,67,0
Ponto_01,Ponto_04,51,0
Ponto_10,Ponto_08,12,0
Ponto_08,Ponto_19,15,0
Ponto_03,Ponto_16,13,0
Ponto_18,Ponto_05,21,0
Ponto_16,Ponto_18,26,0
Ponto_09,Ponto_17,82,0
Ponto_14,Ponto_07,74,1
Ponto_07,Ponto_10,56,0
Ponto_12,Ponto_15,71,0
Ponto_15,Ponto_04,36,0
Ponto_08,Ponto_03,48,0
Ponto_01,Ponto_19,75,0
