timestamp,regiao,consumo,capacidade,prioridade,custo,criticidade
2026-01-01 00:00,Sul,96.4,157.41,3,43.08,126.4
2026-01-01 01:00,Oeste,96.81,137.54,5,34.09,146.81
2026-01-01 02:00,Norte,110.87,161.32,2,66.88,130.87
2026-01-01 03:00,Oeste,63.23,151.07,5,34.89,113.23
2026-01-01 04:00,Sul,61.45,145.47,1,46.41,71.45
2026-01-01 05:00,Leste,92.7,147.04,2,39.79,112.7
2026-01-01 06:00,Centro,119.57,168.78,3,96.67,149.57
2026-01-01 07:00,Oeste,99.32,164.45,4,61.75,139.32
2026-01-01 08:00,Leste,118.33,165.94,5,98.36,168.33
2026-01-01 09:00,Leste,65.48,149.06,1,45.62,75.48
2026-01-01 10:00,Oeste,148.95,157.27,1,78.65,158.95
2026-01-01 11:00,Leste,84.33,149.24,3,43.27,114.33
2026-01-01 12:00,Sul,88.69,138.28,1,59.02,98.69
2026-01-01 13:00,Centro,81.69,157.61,4,43.11,121.69
2026-01-01 14:00,Norte,104.2,173.04,1,45.58,114.2
2026-01-01 15:00,Centro,108.58,145.71,1,46.32,118.58
2026-01-01 16:00,Oeste,115.5,150.86,4,62.07,155.5
2026-01-01 17:00,Centro,108.55,166.43,5,67.67,158.55
2026-01-01 18:00,Sul,150.2,168.63,3,64.82,180.2
2026-01-01 19:00,Sul,169.1,159.61,1,138.1,207.59
2026-01-01 20:00,Oeste,149.15,140.91,4,98.12,213.87
2026-01-01 21:00,Centro,118.69,193.84,5,53.51,168.69
2026-01-01 22:00,Centro,102.44,158.25,1,72.63,112.44
2026-01-01 23:00,Oeste,100.24,134.34,3,36.78,130.24
2026-01-02 00:00,Sul,101.1,161.01,3,89.28,131.1
2026-01-02 01:00,Centro,88.15,159.66,3,70.96,118.15
2026-01-02 02:00,Centro,88.85,154.54,2,55.41,108.85
2026-01-02 03:00,Leste,129.46,150.06,4,40.35,169.46
2026-01-02 04:00,Sul,134.14,140.45,3,59.52,164.14
2026-01-02 05:00,Norte,143.64,134.79,1,106.17,180.21
2026-01-02 06:00,Oeste,130.54,157.45,2,49.22,150.54
2026-01-02 07:00,Oeste,114.19,157.05,5,94.03,164.19
2026-01-02 08:00,Oeste,156.05,152.34,2,113.57,187.19
2026-01-02 09:00,Oeste,136.2,159.34,4,114.38,176.2
2026-01-02 10:00,Centro,112.92,167.37,3,35.3,142.92
2026-01-02 11:00,Norte,102.2,170.5,1,74.06,112.2
2026-01-02 12:00,Sul,107.16,192.29,3,36.7,137.16
2026-01-02 13:00,Centro,94.87,177.01,5,35.99,144.87
2026-01-02 14:00,Sul,83.44,154.84,4,65.46,123.44
2026-01-02 15:00,Oeste,130.42,172.29,3,72.27,160.42
2026-01-02 16:00,Leste,105.47,156.22,1,35.48,115.47
2026-01-02 17:00,Oeste,103.76,153.15,2,42.97,123.76
2026-01-02 18:00,Norte,110.13,167.37,4,49.55,150.13
2026-01-02 19:00,Centro,53.44,170.43,5,19.17,103.44
2026-01-02 20:00,Oeste,133.91,126.1,2,53.53,177.33
2026-01-02 21:00,Norte,50.34,163.51,1,20.08,60.34
2026-01-02 22:00,Centro,119.54,158.91,4,56.32,159.54
2026-01-02 23:00,Norte,84.82,145.27,2,40.54,104.82
2026-01-03 00:00,Centro,72.54,151.05,3,24.25,102.54
2026-01-03 01:00,Centro,44.49,164.89,5,17.55,94.49
2026-01-03 02:00,Sul,114.04,164.64,5,38.86,164.04
2026-01-03 03:00,Centro,50.98,180.32,5,22.82,100.98
2026-01-03 04:00,Leste,110.02,161.53,5,70.32,160.02
2026-01-03 05:00,Oeste,115.5,155.96,3,51.19,145.5
2026-01-03 06:00,Norte,124.5,175.83,4,60.97,164.5
2026-01-03 07:00,Norte,134.77,161.22,5,120.98,184.77
2026-01-03 08:00,Norte,71.14,155.83,2,61.18,91.14
2026-01-03 09:00,Centro,117.43,150.09,2,66.1,137.43
2026-01-03 10:00,Centro,90.1,140.24,5,27.45,140.1
2026-01-03 11:00,Norte,88.74,181.08,2,40.7,108.74
2026-01-03 12:00,Leste,99.31,151.29,3,65.83,129.31
2026-01-03 13:00,Leste,110.19,180.38,3,66.47,140.19
2026-01-03 14:00,Leste,140.06,143.74,1,95.32,150.06
2026-01-03 15:00,Leste,121.66,163.7,2,83.01,141.66
2026-01-03 16:00,Norte,114.24,173.76,4,72.72,154.24
2026-01-03 17:00,Leste,146.12,174.15,2,91.67,166.12
2026-01-03 18:00,Leste,87.71,155.79,2,28.51,107.71
2026-01-03 19:00,Sul,135.9,144.14,1,114.07,145.9
2026-01-03 20:00,Oeste,84.65,139.75,3,65.02,114.65
2026-01-03 21:00,Sul,141.04,155.92,2,115.47,161.04
2026-01-03 22:00,Oeste,104.12,157.72,3,80.11,134.12
2026-01-03 23:00,Norte,116.1,131.63,2,53.42,136.1
